Mods count: 382
 
jar name                                                                     | mod id (isMCreator)                                          | mixin configs
createcobblestone-1.4.9+fabric-1.20.1-131.jar                                | createcobblestone                                            | createcobblestone.mixins.json, createcobblestone-common.mixins.json
createcontraptionterminals-fabric-1.20-1.2.0.jar                             | createcontraptionterminals                                   | cct.mixins.json
Croptopia-1.20.1-FABRIC-3.0.4.jar                                            | croptopia                                                    | Croptopia.mixins.json
croptopiadelight-1.0.1.jar                                                   | croptopiadelight                                             | 
cullleaves-fabric-3.2.0.jar                                                  | cullleaves                                                   | cullleaves.mixins.json
    /META-INF/jars/midnightlib-1.4.1-fabric.jar                              | midnightlib                                                  | midnightlib.mixins.json
cupboard-fabric-1.20.1-2.7.jar                                               | cupboard                                                     | cupboard.mixins.json
cushypillows-1.0.3+1.20.1.jar                                                | cushypillows                                                 | cushypillows.mixins.json
CustomSkinLoader_Fabric-14.24.jar                                            | customskinloader                                             | mixins.customskinloader.refmap.json, mixins.customskinloader.json
darkbindings-fabric-1.20.1-1.4.8.jar                                         | darkbindings                                                 | 
darkbosses-fabric-1.20.1-1.0.4.jar                                           | darkbosses                                                   | 
darkbread-fabric-1.20.1-1.0.0.jar                                            | darkbread (MCreator mod)                                     | darkbread.mixins.json
darkcap-fabric-1.20.1-1.1.5.jar                                              | darkcap                                                      | 
darkchidori-fabric-1.20.1-1.0.8.jar                                          | darkchidori                                                  | 
darkfeather-fabric-1.20.1-1.0.2.jar                                          | darkfeather (MCreator mod)                                   | darkfeather.mixins.json
darkglint-fabric-1.20.1-1.1.2.jar                                            | darkglint                                                    | 
darkheads-fabric-1.20.1-1.1.3.jar                                            | darkheads                                                    | 
darkloot-fabric-1.20.1-1.2.6a.jar                                            | darkloot                                                     | 
